1942|2071|5664201|18185|133213|170000
1308|1431|5542483|18185|133222|0
1195|538|5420765|12785|114333|0
530|1145|5299047|12785|114333|0
959|354|5177329|12785|114333|0
1221|210|5131297|12785|114333|0
1132|36|5098301|12785|38647|0
505|622|5642956|12785|25611|0
1158|1240|5502349|18185|127960|340000
1204|1556|5774863|18185|133222|0
1942|2071|5634256|18185|60101|170000
1308|1431|5512538|18185|133222|0
1195|538|5390820|12785|114333|0
530|1145|5269102|12785|114333|0
959|354|5147384|12785|114333|0
1221|210|5101352|12785|114333|0
1132|36|5068356|12785|38647|0
505|622|5613011|12785|25611|0
1158|1240|5472404|18185|127960|340000
2033|1030|5350686|18185|133222|0
2821|841|5901368|12785|114333|0
2654|52|5772537|18185|121933|340000
2839|932|5650819|18185|121446|0
2453|118|5529101|12785|114333|0
2654|52|5494075|12785|114333|0
2654|52|5485690|12785|27641|0
2516|941|5363972|7385|1000|0
2378|1830|5242254|12785|114333|0
2303|2323|5832184|12785|114333|0
1649|1704|5691577|18185|82685|340000
1382|844|5575259|18185|133222|0
1132|36|5460367|12785|114333|0
620|776|5344049|12785|107507|0
109|1517|5222331|12785|114333|0
620|776|5106013|12785|114333|0
1132|36|4984313|12785|114333|0
1221|210|4951317|12785|114315|0
1132|36|4918321|12785|25611|0
505|622|5462976|12785|25611|0
1158|1240|5322369|18185|127960|340000
2033|1030|5200651|18185|133222|0
2821|841|5751333|12785|114333|0
2654|52|5622502|18185|121933|340000
2839|932|5500784|18185|121446|0
2453|118|5379066|12785|114333|0
2654|52|5344040|12785|114333|0
2654|52|5335655|12785|27641|0
2821|841|5886824|7385|1000|0
2524|1690|5746217|18185|121446|340000
1728|1269|5624499|18185|133222|0
1336|458|5502781|12785|114333|0
658|1050|5381063|12785|114333|0
1039|234|5259345|12785|114333|0
1221|210|5227843|12785|114333|0
1132|36|5194847|12785|24117|0
505|622|5739502|12785|25611|0
1158|1240|5598895|18185|127960|340000
505|622|5543404|18185|133222|0
1132|36|5408059|18185|133106|170000
620|776|5291741|18185|127960|0
109|1517|5170023|12785|114333|0
620|776|5053705|12785|114333|0
1132|36|4932005|12785|114333|0
1221|210|4899009|12785|114315|0
1132|36|4866013|12785|25611|0
505|622|5410668|12785|25611|0
505|622|6082283|18185|127960|340000
1158|1240|5941676|7385|1000|340000
2033|1030|5819958|18185|133222|0
2515|270|5698240|12785|114333|0
2806|1121|5576522|12785|114333|0
2506|272|5454804|12785|114333|0
2654|52|5413030|12785|114333|0
2654|52|5404645|12785|34389|0
2821|841|5955814|7385|1000|0
2524|1690|5815207|18185|121446|340000
1696|2044|5693489|18185|133222|0
2303|2323|5667090|12785|114333|0
1649|1704|5526483|18185|104014|170000
1382|844|5410165|18185|133222|0
1132|36|5295273|12785|114333|0
620|776|5178955|12785|107507|0
109|1517|5057237|12785|114333|0
620|776|4940919|12785|114333|0
1132|36|4819219|12785|114333|0
1221|210|4786223|12785|114315|0
1132|36|4753227|12785|25611|0
505|622|5297882|12785|25611|0
505|622|5969497|18185|127960|340000
1158|1240|5828890|7385|1000|340000
1204|1556|5846404|18185|133222|0
1942|2071|5705797|18185|60101|170000
2465|1338|5584079|18185|133222|0
2595|447|5462361|12785|114333|0
2874|1302|5340643|12785|114333|0
2571|454|5218925|12785|114333|0
2654|52|5158850|12785|114333|0
2654|52|5150465|12785|52690|0
2821|841|5701634|7385|1000|0
2524|1690|5561027|18185|121446|340000
1728|1269|5439309|18185|133222|0
932|848|5317591|12785|114333|0
505|622|5909480|12785|114333|0
1132|36|5774135|18185|80726|340000
620|776|5657817|18185|127960|0
109|1517|5536099|12785|114333|0
620|776|5419781|12785|114333|0
1132|36|5298081|12785|114333|0
1221|210|5265085|12785|114315|0
1132|36|5232089|12785|25611|0
505|622|5776744|12785|25611|0
1158|1240|5636137|18185|127960|340000
505|622|5580646|18185|133222|0
1132|36|5445301|18185|133106|170000
620|776|5328983|18185|127960|0
109|1517|5207265|12785|114333|0
620|776|5090947|12785|114333|0
1132|36|4969247|12785|114333|0
1221|210|4936251|12785|114315|0
1132|36|4903255|12785|25611|0
505|622|5447910|12785|25611|0
1158|1240|5307303|18185|127960|340000
505|622|5506812|18185|133222|0
1132|36|5371467|18185|133106|170000
620|776|5255149|18185|127960|0
109|1517|5133431|12785|114333|0
620|776|5017113|12785|114333|0
1132|36|4895413|12785|114333|0
1221|210|4862417|12785|114315|0
1132|36|4829421|12785|25611|0
505|622|5374076|12785|25611|0
505|622|6045691|18185|127960|340000
1158|1240|5905084|7385|1000|340000
2033|1030|5783366|18185|133222|0
2515|270|5661648|12785|114333|0
